304 212 12 0
88 64 11 2
140 464 28 6
406 465 3 0
203 554 27 6
96 463 23 3
546 198 19 2
464 398 18 5
222 123 16 5
553 112 13 3
140 448 14 5
438 154 15 3
18 284 3 0
601 337 24 1
144 592 3 3
108 179 10 0
238 315 17 0
405 283 18 0
388 169 20 5
622 52 13 4
595 537 36 4
79 389 38 3
397 376 7 6
81 456 5 2
256 490 36 4
231 122 9 2
491 178 3 0
487 631 13 0
498 289 11 1
443 131 6 6
630 502 39 5
630 526 10 2
134 619 23 0
223 74 34 4
435 350 30 1
548 456 14 1
31 64 14 1
627 364 4 0
11 187 39 1
348 544 27 5
304 360 13 2
375 351 15 0
579 221 20 3
97 343 6 6
205 595 32 1
416 573 6 2
145 111 20 0
589 263 37 6
35 427 36 0
58 314 30 1
229 321 9 6
367 160 8 2
617 265 12 4
497 625 39 2
589 310 15 6
130 509 21 5
280 206 29 3
130 278 39 2
498 89 12 1
463 242 29 6
17 166 10 1
635 464 11 1
526 320 5 1
240 452 10 0
386 484 7 2
10 47 6 3
62 567 11 6
539 498 27 6
187 387 7 2
376 329 12 6
282 322 28 1
621 113 23 4
11 539 27 0
436 502 30 0
239 523 5 4
269 349 6 1
542 121 30 6
393 237 14 3
188 120 3 1
85 576 34 3
585 331 36 2
561 28 10 1
459 501 9 2
159 137 12 3
461 356 12 0
56 615 23 3
539 387 33 5
77 606 18 3
627 215 31 2
98 299 31 1
522 304 5 6
30 222 26 3
514 304 36 4
58 302 26 1
160 485 24 6
329 422 15 2
58 77 27 1
218 595 19 1
183 623 24 5
353 276 31 0
88 183 26 0
11 118 25 3
484 431 30 0
516 626 22 1
270 408 4 3
45 219 4 4
484 617 37 1
124 58 13 0
219 269 30 5
453 19 18 6
38 81 31 0
338 81 12 5
583 277 3 1
91 166 35 3
528 274 7 2
105 385 11 0
280 628 35 6
467 555 14 2
115 566 28 1
562 297 4 2
530 394 39 5
31 272 19 0
401 604 12 2
94 532 4 5
525 262 7 2
340 448 13 5
230 420 21 2
611 572 34 6
436 552 23 1
272 43 39 6
172 430 16 6
288 254 25 6
370 90 4 3
457 345 16 2
345 266 3 0
251 274 36 3
259 266 25 5
374 631 36 5
632 466 31 1
467 116 5 6
11 309 10 2
207 179 27 2
435 306 16 6
351 64 25 6
499 97 15 5
636 396 11 6
104 197 17 2
121 148 26 6
302 314 21 3
39 194 20 1
534 57 13 2
177 175 3 5
116 498 27 6
545 453 27 1
562 169 18 5
165 591 6 3
293 572 32 3
390 602 8 2
631 359 36 2
66 168 31 3
291 85 21 1
374 18 35 5
365 230 27 6
569 332 24 1
598 124 29 3
614 502 3 1
424 55 11 3
629 143 8 1
164 251 24 1
281 474 16 3
73 26 30 5
206 586 29 3
633 441 23 4
445 472 39 6
179 614 10 6
400 272 35 6
297 389 36 6
44 503 20 3
565 489 26 3
169 594 8 6
434 505 12 0
211 13 9 3
186 398 25 5
106 538 39 1
635 84 31 2
62 563 10 1
369 26 5 4
490 457 24 5
115 140 23 4
421 551 18 2
70 635 14 1
328 52 15 0
523 99 28 1
482 330 29 4
407 511 21 1
323 401 5 5
132 227 19 2
110 148 27 1
466 419 17 6
126 353 13 2
156 262 23 3
331 432 9 6
406 424 29 1
356 241 31 0
448 459 20 4
230 65 10 3
144 260 32 3
388 101 38 1
299 546 36 3
442 303 39 5
199 314 3 6
494 318 6 0
496 292 19 3
121 516 33 4
543 332 25 6
586 50 32 5
291 318 17 4
86 338 11 0
246 441 10 3
398 120 7 3
576 575 5 5
291 85 37 6
76 345 6 6
253 40 21 3
618 145 10 5
545 154 39 0
121 41 6 3
341 264 26 2
259 191 36 4
170 86 18 6
263 407 14 1
167 610 16 0
624 509 36 3
507 532 16 4
629 106 25 0
505 266 17 2
117 303 17 1
276 612 21 2
370 365 9 5
73 401 6 0
160 570 11 2
290 200 23 0
107 229 28 2
597 308 29 2
463 463 37 2
620 264 23 3
91 139 25 2
512 70 36 2
146 120 4 1
400 76 33 1
27 220 26 2
422 50 28 1
268 441 13 5
374 179 23 5
199 416 34 2
563 107 4 3
146 339 19 3
111 470 11 2
370 198 15 4
156 184 24 1
14 209 37 6
72 394 28 6
521 568 29 5
326 128 26 2
527 177 7 5
451 67 16 3
523 420 37 0
305 399 29 0
315 607 29 3
41 500 31 2
290 70 15 1
569 250 7 2
367 359 27 6
281 472 38 0
30 210 7 6
104 84 26 5
65 280 20 2
100 204 20 3
239 299 30 3
192 165 34 1
576 494 5 0
563 565 13 1
450 402 13 2
22 491 38 6
432 219 3 2
530 397 21 0
134 382 30 5
304 306 10 2
255 28 23 2
450 207 28 4
149 483 7 3
177 178 9 5
198 165 4 5
532 348 28 6
576 347 34 2
446 70 8 5
144 495 13 2
327 39 27 3
267 503 37 1
340 110 10 0
77 105 16 6
481 447 38 0
237 226 22 0
172 26 36 5
583 263 18 3
435 566 7 4
476 205 19 1
264 142 9 1
287 547 6 5
401 440 9 4
516 152 9 4
325 554 19 1
250 39 4 3
143 481 20 4
244 405 27 2
335 121 26 4
161 338 6 4
346 68 33 2
592 190 37 0
229 59 37 3
127 230 26 2
386 569 18 0
593 328 30 3
28 569 7 3
463 189 27 6
160 232 29 3
522 533 31 6
250 317 38 5
56 246 14 2
429 557 35 4
35 350 8 3
471 416 9 0
185 586 5 4
503 269 21 4
411 172 24 1
264 65 32 3
515 373 18 2
324 277 28 0
437 59 38 0
401 611 29 6
454 381 20 6
113 159 3 2
64 339 27 2
345 134 15 0
143 540 7 4
218 88 11 0
144 467 8 1
636 385 33 1
409 466 39 4
633 104 26 2
379 126 35 2
519 598 12 1
368 403 13 3
305 553 34 0
183 283 10 1
53 15 34 4
181 571 25 3
108 631 22 5
186 26 28 1
204 23 26 2
117 103 18 0
155 130 16 4
238 105 29 6
74 18 38 4
251 522 30 4
358 60 24 1
492 175 20 3
511 587 36 0
149 441 30 4
580 303 10 5
143 58 15 5
42 547 8 4
358 286 18 1
489 63 21 6
399 204 29 2
552 184 15 0
623 590 17 6
459 530 29 5
610 306 20 5
461 372 21 6
453 62 35 2
508 396 27 4
420 101 32 1
384 479 28 2
88 261 34 1
508 16 7 1
15 39 29 3
282 471 38 3
568 431 17 3
526 460 32 4
623 169 17 3
497 53 20 4
323 25 18 5
138 630 21 1
497 615 31 2
166 266 17 0
218 25 34 4
609 118 28 3
502 88 21 6
360 353 20 2
618 435 35 1
604 270 28 0
41 228 5 6
413 376 7 6
